id,code_prefix_start,name,chart_template_id/id
rs_group_0,0,"SUBSCRIBED CAPITAL, UNPAID AND NON-CURRENT ASSETS",l10n_rs.l10n_rs_chart_template
rs_group_00,00,"Subscribed capital, unpaid",l10n_rs.l10n_rs_chart_template
rs_group_01,01,"Intangibles",l10n_rs.l10n_rs_chart_template
rs_group_02,02,"Property, plant and equipment",l10n_rs.l10n_rs_chart_template
rs_group_03,03,"Biological assets",l10n_rs.l10n_rs_chart_template
rs_group_04,04,"Long term financial investments",l10n_rs.l10n_rs_chart_template
rs_group_05,05,"Long term receivables",l10n_rs.l10n_rs_chart_template
rs_group_1,1,"Inventories and assets hold for sale",l10n_rs.l10n_rs_chart_template
rs_group_10,10,"Material",l10n_rs.l10n_rs_chart_template
rs_group_11,11,"Work in progress",l10n_rs.l10n_rs_chart_template
rs_group_12,12,"Finished products",l10n_rs.l10n_rs_chart_template
rs_group_13,13,"Merchandise (Goods, purchase for sale)",l10n_rs.l10n_rs_chart_template
rs_group_14,14,"Assets held for trading",l10n_rs.l10n_rs_chart_template
rs_group_15,15,"Advances paid",l10n_rs.l10n_rs_chart_template
rs_group_2,2,"SHORT TERM RECEIVABLES, INVESTMENTS AND CASH",l10n_rs.l10n_rs_chart_template
rs_group_20,20,"Trade receivables",l10n_rs.l10n_rs_chart_template
rs_group_21,21,"Receivables from specific business operations",l10n_rs.l10n_rs_chart_template
rs_group_22,22,"Other receivables",l10n_rs.l10n_rs_chart_template
rs_group_23,23,"Short-term financial investments",l10n_rs.l10n_rs_chart_template
rs_group_24,24,"Cash and cash equivalents",l10n_rs.l10n_rs_chart_template
rs_group_27,27,"VAT",l10n_rs.l10n_rs_chart_template
rs_group_28,28,"Prepayments and accrued income",l10n_rs.l10n_rs_chart_template
rs_group_3,3,"Equity",l10n_rs.l10n_rs_chart_template
rs_group_30,30,"Basic and other capital",l10n_rs.l10n_rs_chart_template
rs_group_31,31,"Subscribed capital unpaid",l10n_rs.l10n_rs_chart_template
rs_group_32,32,"Reserves",l10n_rs.l10n_rs_chart_template
rs_group_33,33,"Reevaluation reserves and unrealized gains and losses",l10n_rs.l10n_rs_chart_template
rs_group_34,34,"Retained profits",l10n_rs.l10n_rs_chart_template
rs_group_35,35,"LOSS",l10n_rs.l10n_rs_chart_template
rs_group_4,4,"LONG-TERM PROVISIONS AND LIABILITIES",l10n_rs.l10n_rs_chart_template
rs_group_40,40,"Long-term provisions",l10n_rs.l10n_rs_chart_template
rs_group_41,41,"Long term liabilities",l10n_rs.l10n_rs_chart_template
rs_group_42,42,"Short-term financial liabilities",l10n_rs.l10n_rs_chart_template
rs_group_43,43,"Liabilities from business operations",l10n_rs.l10n_rs_chart_template
rs_group_44,44,"Liabilities from specific business operations",l10n_rs.l10n_rs_chart_template
rs_group_45,45,"Liabilities for salaries and fringe benefits",l10n_rs.l10n_rs_chart_template
rs_group_46,46,"Other liabilities",l10n_rs.l10n_rs_chart_template
rs_group_47,47,"Liabilities for Value Added Tax",l10n_rs.l10n_rs_chart_template
rs_group_48,48,"Liabilities for other taxes, contributions and other duties",l10n_rs.l10n_rs_chart_template
rs_group_49,49,"Accruals and deferred income",l10n_rs.l10n_rs_chart_template
rs_group_5,5,"EXPENSES",l10n_rs.l10n_rs_chart_template
rs_group_50,50,"Cost of goods sold - COGS",l10n_rs.l10n_rs_chart_template
rs_group_51,51,"Cost of material and energy",l10n_rs.l10n_rs_chart_template
rs_group_52,52,"Costs of salaries, fringe benefits and other personal expenses",l10n_rs.l10n_rs_chart_template
rs_group_53,53,"Costs of production services",l10n_rs.l10n_rs_chart_template
rs_group_54,54,"Costs of depreciation and provisions",l10n_rs.l10n_rs_chart_template
rs_group_55,55,"Non-production costs",l10n_rs.l10n_rs_chart_template
rs_group_56,56,"Financial expenses",l10n_rs.l10n_rs_chart_template
rs_group_57,57,"Other expenses",l10n_rs.l10n_rs_chart_template
rs_group_58,58,"Impairment Costs",l10n_rs.l10n_rs_chart_template
rs_group_59,59,"Loss from discounting operations, effects of change in accounting policies and errors from pervious periods",l10n_rs.l10n_rs_chart_template
rs_group_6,6,"REVENUES",l10n_rs.l10n_rs_chart_template
rs_group_60,60,"Income from the sale of merchandise",l10n_rs.l10n_rs_chart_template
rs_group_61,61,"Income from sales of products and services rendered",l10n_rs.l10n_rs_chart_template
rs_group_62,62,"Income from the own use of products, services and merchandise",l10n_rs.l10n_rs_chart_template
rs_group_63,63,"Change in value of inventories of work in progress and finished products",l10n_rs.l10n_rs_chart_template
rs_group_64,64,"Income from premiums, subventions, donations, etc",l10n_rs.l10n_rs_chart_template
rs_group_65,65,"Other operating income",l10n_rs.l10n_rs_chart_template
rs_group_66,66,"Financial income",l10n_rs.l10n_rs_chart_template
rs_group_67,67,"Other income",l10n_rs.l10n_rs_chart_template
rs_group_68,68," Income from assets valuation adjustments",l10n_rs.l10n_rs_chart_template
rs_group_69,69,"Income from discounting operations, effects of change in accounting policies and errors from pervious periods",l10n_rs.l10n_rs_chart_template
rs_group_7,7,"OPENING AND CLOSING BALANCES OF BALANCE SHEET'S AND INCOME STATEMENT'S ACCOUNTS",l10n_rs.l10n_rs_chart_template
rs_group_70,70,"Opening account of general ledger",l10n_rs.l10n_rs_chart_template
rs_group_71,71,"Closing of the Income statement's accounts",l10n_rs.l10n_rs_chart_template
rs_group_72,72,"Profit and loss account",l10n_rs.l10n_rs_chart_template
rs_group_73,73,"Closing of the Balance Sheet's accounts",l10n_rs.l10n_rs_chart_template
rs_group_74,74,"Group free for use",l10n_rs.l10n_rs_chart_template
rs_group_8,8,"OFF-BALANCE SHEET EVIDENCE",l10n_rs.l10n_rs_chart_template
rs_group_88,88,"Off-Balance sheet assets",l10n_rs.l10n_rs_chart_template
rs_group_89,89,"Off-Balance sheet liabilities",l10n_rs.l10n_rs_chart_template
rs_group_9,9,"COST ACCOUNTING",l10n_rs.l10n_rs_chart_template
rs_group_90,90,"Liaison accounts with financial book-keeping",l10n_rs.l10n_rs_chart_template
rs_group_91,91,"Raw material and merchandise",l10n_rs.l10n_rs_chart_template
rs_group_92,92,"Cost accounts points for purchasing technical management and ancillary activities",l10n_rs.l10n_rs_chart_template
rs_group_93,93,"Accounts for main production cost points",l10n_rs.l10n_rs_chart_template
rs_group_94,94,"Cost account points for management sales and similar activities",l10n_rs.l10n_rs_chart_template
rs_group_95,95,"Cost units",l10n_rs.l10n_rs_chart_template
rs_group_96,96,"Finished products",l10n_rs.l10n_rs_chart_template
rs_group_97,97,"Group free for use",l10n_rs.l10n_rs_chart_template
rs_group_98,98,"Group free for use",l10n_rs.l10n_rs_chart_template
rs_group_99,99,"Profit, loss and closing accounts",l10n_rs.l10n_rs_chart_template
